Tree Number	Desc Ui	Term
A03.556.875.500.360	D049631	Esophageal Sphincter, Upper
A03.556.875.500.414	D004943	Esophagogastric Junction
A03.556.875.500.414.350	D049630	Esophageal Sphincter, Lower
A03.556.875.875	D013270	Stomach
A03.556.875.875.163	D002299	Cardia
A03.556.875.875.330	D004943	Esophagogastric Junction
A03.556.875.875.330.350	D049630	Esophageal Sphincter, Lower
A03.556.875.875.419	D005748	Gastric Fundus
A03.556.875.875.440	D005753	Gastric Mucosa
A03.556.875.875.440.150	D019872	Chief Cells, Gastric
A03.556.875.875.440.250	D004759	Enterochromaffin Cells
A03.556.875.875.440.300	D019863	Gastrin-Secreting Cells
A03.556.875.875.440.708	D010295	Parietal Cells, Gastric
A03.556.875.875.440.854	D019864	Somatostatin-Secreting Cells
A03.556.875.875.578	D018530	Gastric Stump
A03.556.875.875.716	D011706	Pyloric Antrum
A03.556.875.875.799	D011708	Pylorus
A03.620	D008099	Liver
A03.620.150	D001653	Bile Ducts, Intrahepatic
A03.620.150.125	D001648	Bile Canaliculi
A03.620.575	D000069592	Round Ligament of Liver
A03.734	D010179	Pancreas
A03.734.414	D007515	Islets of Langerhans
A03.734.414.065	D050416	Glucagon-Secreting Cells
A03.734.414.131	D050417	Insulin-Secreting Cells
A03.734.414.587	D050418	Pancreatic Polypeptide-Secreting Cells
A03.734.414.793	D019864	Somatostatin-Secreting Cells
A03.734.540	D046790	Pancreas, Exocrine
A03.734.667	D010183	Pancreatic Ducts
A04	D012137	Respiratory System
A04.329	D007830	Larynx
A04.329.364	D005931	Glottis
A04.329.364.737	D014827	Vocal Cords
A04.329.591	D007817	Laryngeal Cartilages
A04.329.591.085	D001193	Arytenoid Cartilage
A04.329.591.211	D003413	Cricoid Cartilage
A04.329.591.411	D004825	Epiglottis
A04.329.591.870	D013957	Thyroid Cartilage
A04.329.597	D007820	Laryngeal Mucosa
A04.329.597.320	D020397	Goblet Cells
A04.329.604	D007821	Laryngeal Muscles
A04.411	D008168	Lung
A04.411.125	D001980	Bronchi
A04.411.125.500	D055745	Bronchioles
A04.411.715	D011650	Pulmonary Alveoli
A04.411.715.025	D015824	Blood-Air Barrier
A04.411.715.512	D056809	Alveolar Epithelial Cells
A04.531	D009666	Nose
A04.531.378	D009295	Nasal Bone
A04.531.413	D055171	Nasal Cartilages
A04.531.449	D009296	Nasal Cavity
A04.531.520	D009297	Nasal Mucosa
A04.531.520.320	D020397	Goblet Cells
A04.531.520.573	D009831	Olfactory Mucosa
A04.531.520.573.580	D018034	Olfactory Receptor Neurons
A04.531.591	D009300	Nasal Septum
A04.531.591.469	D055172	Vomer
A04.531.621	D010256	Paranasal Sinuses
A04.531.621.267	D005005	Ethmoid Sinus
A04.531.621.387	D005626	Frontal Sinus
A04.531.621.578	D008443	Maxillary Sinus
A04.531.621.827	D013101	Sphenoid Sinus
A04.531.898	D014420	Turbinates
A04.623	D010614	Pharynx
A04.623.490	D007013	Hypopharynx
A04.623.490.600	D056144	Pyriform Sinus
A04.623.557	D009305	Nasopharynx
A04.623.557.500	D000234	Adenoids
A04.623.603	D009960	Oropharynx
A04.623.603.925	D014066	Palatine Tonsil
A04.623.617	D010609	Pharyngeal Muscles
A04.623.617.360	D049631	Esophageal Sphincter, Upper
A04.623.617.680	D055158	Velopharyngeal Sphincter
A04.716	D010994	Pleura
A04.760	D020545	Respiratory Mucosa
A04.760.259	D020397	Goblet Cells
A04.760.520	D007820	Laryngeal Mucosa
A04.760.600	D009297	Nasal Mucosa
A04.760.600.640	D009831	Olfactory Mucosa
A04.760.600.640.640	D018034	Olfactory Receptor Neurons
A04.889	D014132	Trachea
A05	D014566	Urogenital System
A05.360	D005835	Genitalia
A05.360.319	D005836	Genitalia, Female
A05.360.319.114	D000290	Adnexa Uteri
A05.360.319.114.170	D001956	Broad Ligament
A05.360.319.114.373	D005187	Fallopian Tubes
A05.360.319.114.630	D010053	Ovary
A05.360.319.114.630.278	D003338	Corpus Luteum
A05.360.319.114.630.278.400	D008184	Luteal Cells
A05.360.319.114.630.535	D006080	Ovarian Follicle
A05.360.319.114.630.535.150	D015571	Follicular Fluid
A05.360.319.114.630.535.200	D006107	Granulosa Cells
A05.360.319.114.630.535.200.500	D054885	Cumulus Cells
A05.360.319.114.630.535.400	D013799	Theca Cells
A05.360.319.114.815	D012404	Round Ligament of Uterus
A05.360.319.679	D014599	Uterus
A05.360.319.679.256	D002584	Cervix Uteri
A05.360.319.679.490	D004717	Endometrium
A05.360.319.679.490.373	D003656	Decidua
A05.360.319.679.490.373.500	D033301	Deciduoma
A05.360.319.679.690	D009215	Myometrium
A05.360.319.779	D014621	Vagina
A05.360.319.779.479	D006924	Hymen
A05.360.319.887	D014844	Vulva
A05.360.319.887.220	D001472	Bartholin's Glands
A05.360.319.887.436	D002987	Clitoris
A05.360.444	D005837	Genitalia, Male
A05.360.444.123	D002030	Bulbourethral Glands
A05.360.444.251	D004543	Ejaculatory Ducts
A05.360.444.371	D004822	Epididymis
A05.360.444.492	D010413	Penis
A05.360.444.492.362	D052816	Foreskin
A05.360.444.492.726	D014521	Urethra
A05.360.444.575	D011467	Prostate
A05.360.444.661	D012611	Scrotum
A05.360.444.713	D012669	Seminal Vesicles
A05.360.444.777	D013085	Spermatic Cord
A05.360.444.849	D013737	Testis
A05.360.444.849.513	D007985	Leydig Cells
A05.360.444.849.600	D012152	Rete Testis
A05.360.444.849.700	D012671	Seminiferous Tubules
A05.360.444.849.700.349	D001814	Blood-Testis Barrier
A05.360.444.849.700.700	D012670	Seminiferous Epithelium
A05.360.444.849.789	D012708	Sertoli Cells
A05.360.444.930	D014649	Vas Deferens
A05.360.490	D005854	Germ Cells
A05.360.490.690	D010063	Ovum
A05.360.490.690.680	D009865	Oocytes
A05.360.490.690.680.500	D059705	Polar Bodies
A05.360.490.690.700	D009867	Oogonia
A05.360.490.690.950	D015044	Zona Pellucida
A05.360.490.690.970	D015053	Zygote
A05.360.490.890	D013094	Spermatozoa
A05.360.490.890.820	D013077	Sperm Head
A05.360.490.890.820.100	D000177	Acrosome
A05.360.490.890.830	D032961	Sperm Midpiece
A05.360.490.890.840	D013082	Sperm Tail
A05.360.490.890.860	D013087	Spermatids
A05.360.490.890.880	D013090	Spermatocytes
A05.360.490.890.900	D013093	Spermatogonia
A05.360.576	D006066	Gonads
A05.360.576.497	D010053	Ovary
A05.360.576.782	D013737	Testis
A05.810	D014551	Urinary Tract
A05.810.453	D007668	Kidney
A05.810.453.324	D007672	Kidney Cortex
A05.810.453.324.359	D007678	Kidney Glomerulus
A05.810.453.324.359.372	D060730	Glomerular Filtration Barrier
A05.810.453.324.359.372.400	D050533	Glomerular Basement Membrane
A05.810.453.324.359.372.650	D050199	Podocytes
A05.810.453.324.359.520	D007606	Juxtaglomerular Apparatus
A05.810.453.324.359.620	D050527	Mesangial Cells
A05.810.453.324.359.620.500	D005920	Glomerular Mesangium
A05.810.453.466	D007679	Kidney Medulla
A05.810.453.537	D007682	Kidney Pelvis
A05.810.453.537.503	D007670	Kidney Calices
A05.810.453.736	D009399	Nephrons
A05.810.453.736.520	D007678	Kidney Glomerulus
A05.810.453.736.520.224	D050533	Glomerular Basement Membrane
A05.810.453.736.520.372	D060730	Glomerular Filtration Barrier
A05.810.453.736.520.520	D007606	Juxtaglomerular Apparatus
A05.810.453.736.520.620	D050527	Mesangial Cells
A05.810.453.736.520.620.500	D005920	Glomerular Mesangium
A05.810.453.736.520.720	D050199	Podocytes
A05.810.453.736.560	D007684	Kidney Tubules
A05.810.453.736.560.254	D050476	Bowman Capsule
A05.810.453.736.560.510	D007685	Kidney Tubules, Collecting
A05.810.453.736.560.540	D007686	Kidney Tubules, Distal
A05.810.453.736.560.570	D007687	Kidney Tubules, Proximal
A05.810.453.736.560.610	D008138	Loop of Henle
A05.810.776	D014513	Ureter
A05.810.876	D014521	Urethra
A05.810.890	D001743	Urinary Bladder
A06	D004703	Endocrine System
A06.224	D002838	Chromaffin System
A06.224.161	D019439	Chromaffin Cells
A06.224.161.500	D002837	Chromaffin Granules
A06.224.358	D004759	Enterochromaffin Cells
A06.224.365	D019861	Enterochromaffin-like Cells
A06.224.636	D010220	Para-Aortic Bodies
A06.224.736	D010233	Paraganglia, Chromaffin
A06.390	D019858	Enteroendocrine Cells
A06.390.021	D004759	Enterochromaffin Cells
A06.390.043	D019861	Enterochromaffin-like Cells
A06.390.065	D019863	Gastrin-Secreting Cells
A06.390.087	D050416	Glucagon-Secreting Cells
A06.390.131	D050417	Insulin-Secreting Cells
A06.390.650	D050418	Pancreatic Polypeptide-Secreting Cells
A06.390.825	D019864	Somatostatin-Secreting Cells
A06.407	D004702	Endocrine Glands
A06.407.071	D000311	Adrenal Glands
A06.407.071.140	D000302	Adrenal Cortex
A06.407.071.140.950	D015383	Zona Fasciculata
A06.407.071.140.960	D015384	Zona Glomerulosa
